group,text,label
topic:Leukemia,what is (are) leukemia ?,RETRIEVE_KNOWLEDGE
topic:DMD-associated dilated cardiomyopathy,what is (are) dmd-associated dilated cardiomyopathy ?,RETRIEVE_KNOWLEDGE
topic:inclusion body myopathy 2,is inclusion body myopathy 2 inherited ?,RETRIEVE_KNOWLEDGE
topic:Celiac Disease,what causes celiac disease ?,RETRIEVE_KNOWLEDGE
topic:Alzheimer's Disease,what is (are) alzheimer's disease ?,RETRIEVE_KNOWLEDGE
topic:Spinocerebellar ataxia 3,what are the symptoms of spinocerebellar ataxia 3 ?,RETRIEVE_KNOWLEDGE
topic:Omsk Hemorrhagic Fever (OHF),who is at risk for omsk hemorrhagic fever (ohf)? ?,RETRIEVE_KNOWLEDGE
topic:What to do for Treatment Metho,what to do for treatment methods for kidney failure: peritoneal dialysis ?,RETRIEVE_KNOWLEDGE
topic:Merkel cell carcinoma,is merkel cell carcinoma inherited ?,RETRIEVE_KNOWLEDGE
vignette:33,i drank a cleaning liquid by mistake,EMERGENCY_ESCALATE
vignette:33,i have i drank a cleaning liquid by mistake,EMERGENCY_ESCALATE
vignette:33,"doctor, i drank a cleaning liquid by mistake",EMERGENCY_ESCALATE
vignette:33,i drank a cleaning liquid by mistake. what should i do,EMERGENCY_ESCALATE
vignette:33,i drank a cleaning liquid by mistake. please advise,EMERGENCY_ESCALATE
vignette:33,"hi, i drank a cleaning liquid by mistake and i am worried",EMERGENCY_ESCALATE
vignette:33,hello doctor i drank a cleaning liquid by mistake,EMERGENCY_ESCALATE
vignette:33,i am experiencing i drank a cleaning liquid by mistake,EMERGENCY_ESCALATE
vignette:11,"worst headache of my life, started suddenly like a thunderclap",EMERGENCY_ESCALATE
vignette:11,"i have worst headache of my life, started suddenly like a thunderclap",EMERGENCY_ESCALATE
vignette:11,"doctor, worst headache of my life, started suddenly like a thunderclap",EMERGENCY_ESCALATE
vignette:11,"worst headache of my life, started suddenly like a thunderclap. what should i do",EMERGENCY_ESCALATE
vignette:11,"worst headache of my life, started suddenly like a thunderclap. please advise",EMERGENCY_ESCALATE
vignette:11,"hi, worst headache of my life, started suddenly like a thunderclap and i am worried",EMERGENCY_ESCALATE
vignette:11,"hello doctor worst headache of my life, started suddenly like a thunderclap",EMERGENCY_ESCALATE
vignette:11,"i am experiencing worst headache of my life, started suddenly like a thunderclap",EMERGENCY_ESCALATE
vignette:6,sudden weakness on one side of my body and slurred speech,EMERGENCY_ESCALATE
vignette:6,i have sudden weakness on one side of my body and slurred speech,EMERGENCY_ESCALATE
vignette:6,"doctor, sudden weakness on one side of my body and slurred speech",EMERGENCY_ESCALATE
vignette:6,sudden weakness on one side of my body and slurred speech. what should i do,EMERGENCY_ESCALATE
vignette:6,sudden weakness on one side of my body and slurred speech. please advise,EMERGENCY_ESCALATE
vignette:6,"hi, sudden weakness on one side of my body and slurred speech and i am worried",EMERGENCY_ESCALATE
vignette:6,hello doctor sudden weakness on one side of my body and slurred speech,EMERGENCY_ESCALATE
vignette:6,i am experiencing sudden weakness on one side of my body and slurred speech,EMERGENCY_ESCALATE
vignette:3,"severe difficulty breathing, i can only speak a few words",EMERGENCY_ESCALATE
vignette:3,"i have severe difficulty breathing, i can only speak a few words",EMERGENCY_ESCALATE
vignette:3,"doctor, severe difficulty breathing, i can only speak a few words",EMERGENCY_ESCALATE
vignette:3,"severe difficulty breathing, i can only speak a few words. what should i do",EMERGENCY_ESCALATE
vignette:3,"severe difficulty breathing, i can only speak a few words. please advise",EMERGENCY_ESCALATE
vignette:3,"hi, severe difficulty breathing, i can only speak a few words and i am worried",EMERGENCY_ESCALATE
vignette:3,"hello doctor severe difficulty breathing, i can only speak a few words",EMERGENCY_ESCALATE
vignette:3,"i am experiencing severe difficulty breathing, i can only speak a few words",EMERGENCY_ESCALATE
vignette:17,whole body rash with swelling of the face and trouble breathing,EMERGENCY_ESCALATE
vignette:17,i have whole body rash with swelling of the face and trouble breathing,EMERGENCY_ESCALATE
vignette:17,"doctor, whole body rash with swelling of the face and trouble breathing",EMERGENCY_ESCALATE
vignette:17,whole body rash with swelling of the face and trouble breathing. what should i do,EMERGENCY_ESCALATE
vignette:17,whole body rash with swelling of the face and trouble breathing. please advise,EMERGENCY_ESCALATE
vignette:17,"hi, whole body rash with swelling of the face and trouble breathing and i am worried",EMERGENCY_ESCALATE
vignette:17,hello doctor whole body rash with swelling of the face and trouble breathing,EMERGENCY_ESCALATE
vignette:17,i am experiencing whole body rash with swelling of the face and trouble breathing,EMERGENCY_ESCALATE
vignette:25,snake bite on my leg an hour ago,EMERGENCY_ESCALATE
vignette:25,i have snake bite on my leg an hour ago,EMERGENCY_ESCALATE
vignette:25,"doctor, snake bite on my leg an hour ago",EMERGENCY_ESCALATE
vignette:25,snake bite on my leg an hour ago. what should i do,EMERGENCY_ESCALATE
vignette:25,snake bite on my leg an hour ago. please advise,EMERGENCY_ESCALATE
vignette:25,"hi, snake bite on my leg an hour ago and i am worried",EMERGENCY_ESCALATE
vignette:25,hello doctor snake bite on my leg an hour ago,EMERGENCY_ESCALATE
vignette:25,i am experiencing snake bite on my leg an hour ago,EMERGENCY_ESCALATE
vignette:13,i am having thoughts of ending my life,EMERGENCY_ESCALATE
vignette:13,i have i am having thoughts of ending my life,EMERGENCY_ESCALATE
vignette:13,"doctor, i am having thoughts of ending my life",EMERGENCY_ESCALATE
vignette:13,i am having thoughts of ending my life. what should i do,EMERGENCY_ESCALATE
vignette:13,i am having thoughts of ending my life. please advise,EMERGENCY_ESCALATE
vignette:13,"hi, i am having thoughts of ending my life and i am worried",EMERGENCY_ESCALATE
vignette:13,hello doctor i am having thoughts of ending my life,EMERGENCY_ESCALATE
vignette:13,i am experiencing i am having thoughts of ending my life,EMERGENCY_ESCALATE
vignette:35,my arm is broken and the bone is visible,EMERGENCY_ESCALATE
vignette:35,i have my arm is broken and the bone is visible,EMERGENCY_ESCALATE
vignette:35,"doctor, my arm is broken and the bone is visible",EMERGENCY_ESCALATE
vignette:35,my arm is broken and the bone is visible. what should i do,EMERGENCY_ESCALATE
vignette:35,my arm is broken and the bone is visible. please advise,EMERGENCY_ESCALATE
vignette:35,"hi, my arm is broken and the bone is visible and i am worried",EMERGENCY_ESCALATE
vignette:35,hello doctor my arm is broken and the bone is visible,EMERGENCY_ESCALATE
vignette:35,i am experiencing my arm is broken and the bone is visible,EMERGENCY_ESCALATE
vignette:22,sudden loss of vision in one eye,EMERGENCY_ESCALATE
vignette:22,i have sudden loss of vision in one eye,EMERGENCY_ESCALATE
vignette:22,"doctor, sudden loss of vision in one eye",EMERGENCY_ESCALATE
vignette:22,sudden loss of vision in one eye. what should i do,EMERGENCY_ESCALATE
vignette:22,sudden loss of vision in one eye. please advise,EMERGENCY_ESCALATE
vignette:22,"hi, sudden loss of vision in one eye and i am worried",EMERGENCY_ESCALATE
vignette:22,hello doctor sudden loss of vision in one eye,EMERGENCY_ESCALATE
vignette:22,i am experiencing sudden loss of vision in one eye,EMERGENCY_ESCALATE
vignette:4,coughing up blood since this morning,EMERGENCY_ESCALATE
vignette:4,i have coughing up blood since this morning,EMERGENCY_ESCALATE
vignette:4,"doctor, coughing up blood since this morning",EMERGENCY_ESCALATE
vignette:4,coughing up blood since this morning. what should i do,EMERGENCY_ESCALATE
vignette:4,coughing up blood since this morning. please advise,EMERGENCY_ESCALATE
vignette:4,"hi, coughing up blood since this morning and i am worried",EMERGENCY_ESCALATE
vignette:4,hello doctor coughing up blood since this morning,EMERGENCY_ESCALATE
vignette:4,i am experiencing coughing up blood since this morning,EMERGENCY_ESCALATE
vignette:31,large amount of blood in my stool just now,EMERGENCY_ESCALATE
vignette:31,i have large amount of blood in my stool just now,EMERGENCY_ESCALATE
vignette:31,"doctor, large amount of blood in my stool just now",EMERGENCY_ESCALATE
vignette:31,large amount of blood in my stool just now. what should i do,EMERGENCY_ESCALATE
vignette:31,large amount of blood in my stool just now. please advise,EMERGENCY_ESCALATE
vignette:31,"hi, large amount of blood in my stool just now and i am worried",EMERGENCY_ESCALATE
vignette:31,hello doctor large amount of blood in my stool just now,EMERGENCY_ESCALATE
vignette:31,i am experiencing large amount of blood in my stool just now,EMERGENCY_ESCALATE
vignette:9,my child is unresponsive and floppy,EMERGENCY_ESCALATE
vignette:9,i have my child is unresponsive and floppy,EMERGENCY_ESCALATE
vignette:9,"doctor, my child is unresponsive and floppy",EMERGENCY_ESCALATE
vignette:9,my child is unresponsive and floppy. what should i do,EMERGENCY_ESCALATE
vignette:9,my child is unresponsive and floppy. please advise,EMERGENCY_ESCALATE
vignette:9,"hi, my child is unresponsive and floppy and i am worried",EMERGENCY_ESCALATE
vignette:9,hello doctor my child is unresponsive and floppy,EMERGENCY_ESCALATE
vignette:9,i am experiencing my child is unresponsive and floppy,EMERGENCY_ESCALATE
vignette:19,i am pregnant with heavy bleeding and severe belly pain,EMERGENCY_ESCALATE
vignette:19,i have i am pregnant with heavy bleeding and severe belly pain,EMERGENCY_ESCALATE
vignette:19,"doctor, i am pregnant with heavy bleeding and severe belly pain",EMERGENCY_ESCALATE
vignette:19,i am pregnant with heavy bleeding and severe belly pain. what should i do,EMERGENCY_ESCALATE
vignette:19,i am pregnant with heavy bleeding and severe belly pain. please advise,EMERGENCY_ESCALATE
vignette:19,"hi, i am pregnant with heavy bleeding and severe belly pain and i am worried",EMERGENCY_ESCALATE
vignette:19,hello doctor i am pregnant with heavy bleeding and severe belly pain,EMERGENCY_ESCALATE
vignette:19,i am experiencing i am pregnant with heavy bleeding and severe belly pain,EMERGENCY_ESCALATE
vignette:0,crushing chest pain spreading to my left arm and jaw,EMERGENCY_ESCALATE
vignette:0,i have crushing chest pain spreading to my left arm and jaw,EMERGENCY_ESCALATE
vignette:0,"doctor, crushing chest pain spreading to my left arm and jaw",EMERGENCY_ESCALATE
vignette:0,crushing chest pain spreading to my left arm and jaw. what should i do,EMERGENCY_ESCALATE
vignette:0,crushing chest pain spreading to my left arm and jaw. please advise,EMERGENCY_ESCALATE
vignette:0,"hi, crushing chest pain spreading to my left arm and jaw and i am worried",EMERGENCY_ESCALATE
vignette:0,hello doctor crushing chest pain spreading to my left arm and jaw,EMERGENCY_ESCALATE
vignette:0,i am experiencing crushing chest pain spreading to my left arm and jaw,EMERGENCY_ESCALATE
vignette:29,chest pain that started while resting and is not going away,EMERGENCY_ESCALATE
vignette:29,i have chest pain that started while resting and is not going away,EMERGENCY_ESCALATE
vignette:29,"doctor, chest pain that started while resting and is not going away",EMERGENCY_ESCALATE
vignette:29,chest pain that started while resting and is not going away. what should i do,EMERGENCY_ESCALATE
vignette:29,chest pain that started while resting and is not going away. please advise,EMERGENCY_ESCALATE
vignette:29,"hi, chest pain that started while resting and is not going away and i am worried",EMERGENCY_ESCALATE
vignette:29,hello doctor chest pain that started while resting and is not going away,EMERGENCY_ESCALATE
vignette:29,i am experiencing chest pain that started while resting and is not going away,EMERGENCY_ESCALATE
vignette:7,my face has drooped on one side and my arm is numb,EMERGENCY_ESCALATE
vignette:7,i have my face has drooped on one side and my arm is numb,EMERGENCY_ESCALATE
vignette:7,"doctor, my face has drooped on one side and my arm is numb",EMERGENCY_ESCALATE
vignette:7,my face has drooped on one side and my arm is numb. what should i do,EMERGENCY_ESCALATE
vignette:7,my face has drooped on one side and my arm is numb. please advise,EMERGENCY_ESCALATE
vignette:7,"hi, my face has drooped on one side and my arm is numb and i am worried",EMERGENCY_ESCALATE
vignette:7,hello doctor my face has drooped on one side and my arm is numb,EMERGENCY_ESCALATE
vignette:7,i am experiencing my face has drooped on one side and my arm is numb,EMERGENCY_ESCALATE
vignette:24,my newborn baby is not breathing normally and is grunting,EMERGENCY_ESCALATE
vignette:24,i have my newborn baby is not breathing normally and is grunting,EMERGENCY_ESCALATE
vignette:24,"doctor, my newborn baby is not breathing normally and is grunting",EMERGENCY_ESCALATE
vignette:24,my newborn baby is not breathing normally and is grunting. what should i do,EMERGENCY_ESCALATE
vignette:24,my newborn baby is not breathing normally and is grunting. please advise,EMERGENCY_ESCALATE
vignette:24,"hi, my newborn baby is not breathing normally and is grunting and i am worried",EMERGENCY_ESCALATE
vignette:24,hello doctor my newborn baby is not breathing normally and is grunting,EMERGENCY_ESCALATE
vignette:24,i am experiencing my newborn baby is not breathing normally and is grunting,EMERGENCY_ESCALATE
vignette:30,i am short of breath at rest and cannot lie flat,EMERGENCY_ESCALATE
vignette:30,i have i am short of breath at rest and cannot lie flat,EMERGENCY_ESCALATE
vignette:30,"doctor, i am short of breath at rest and cannot lie flat",EMERGENCY_ESCALATE
vignette:30,i am short of breath at rest and cannot lie flat. what should i do,EMERGENCY_ESCALATE
vignette:30,i am short of breath at rest and cannot lie flat. please advise,EMERGENCY_ESCALATE
vignette:30,"hi, i am short of breath at rest and cannot lie flat and i am worried",EMERGENCY_ESCALATE
vignette:30,hello doctor i am short of breath at rest and cannot lie flat,EMERGENCY_ESCALATE
vignette:30,i am experiencing i am short of breath at rest and cannot lie flat,EMERGENCY_ESCALATE
vignette:20,burns over my arm with blistering skin from boiling water,EMERGENCY_ESCALATE
vignette:20,i have burns over my arm with blistering skin from boiling water,EMERGENCY_ESCALATE
vignette:20,"doctor, burns over my arm with blistering skin from boiling water",EMERGENCY_ESCALATE
vignette:20,burns over my arm with blistering skin from boiling water. what should i do,EMERGENCY_ESCALATE
vignette:20,burns over my arm with blistering skin from boiling water. please advise,EMERGENCY_ESCALATE
vignette:20,"hi, burns over my arm with blistering skin from boiling water and i am worried",EMERGENCY_ESCALATE
vignette:20,hello doctor burns over my arm with blistering skin from boiling water,EMERGENCY_ESCALATE
vignette:20,i am experiencing burns over my arm with blistering skin from boiling water,EMERGENCY_ESCALATE
vignette:27,"confused, drowsy and cannot be woken properly",EMERGENCY_ESCALATE
vignette:27,"i have confused, drowsy and cannot be woken properly",EMERGENCY_ESCALATE
vignette:27,"doctor, confused, drowsy and cannot be woken properly",EMERGENCY_ESCALATE
vignette:27,"confused, drowsy and cannot be woken properly. what should i do",EMERGENCY_ESCALATE
vignette:27,"confused, drowsy and cannot be woken properly. please advise",EMERGENCY_ESCALATE
vignette:27,"hi, confused, drowsy and cannot be woken properly and i am worried",EMERGENCY_ESCALATE
vignette:27,"hello doctor confused, drowsy and cannot be woken properly",EMERGENCY_ESCALATE
vignette:27,"i am experiencing confused, drowsy and cannot be woken properly",EMERGENCY_ESCALATE
vignette:37,sudden severe pain between my shoulder blades tearing in nature,EMERGENCY_ESCALATE
vignette:37,i have sudden severe pain between my shoulder blades tearing in nature,EMERGENCY_ESCALATE
vignette:37,"doctor, sudden severe pain between my shoulder blades tearing in nature",EMERGENCY_ESCALATE
vignette:37,sudden severe pain between my shoulder blades tearing in nature. what should i do,EMERGENCY_ESCALATE
vignette:37,sudden severe pain between my shoulder blades tearing in nature. please advise,EMERGENCY_ESCALATE
vignette:37,"hi, sudden severe pain between my shoulder blades tearing in nature and i am worried",EMERGENCY_ESCALATE
vignette:37,hello doctor sudden severe pain between my shoulder blades tearing in nature,EMERGENCY_ESCALATE
vignette:37,i am experiencing sudden severe pain between my shoulder blades tearing in nature,EMERGENCY_ESCALATE
vignette:5,vomiting blood and feeling faint,EMERGENCY_ESCALATE
vignette:5,i have vomiting blood and feeling faint,EMERGENCY_ESCALATE
vignette:5,"doctor, vomiting blood and feeling faint",EMERGENCY_ESCALATE
vignette:5,vomiting blood and feeling faint. what should i do,EMERGENCY_ESCALATE
vignette:5,vomiting blood and feeling faint. please advise,EMERGENCY_ESCALATE
vignette:5,"hi, vomiting blood and feeling faint and i am worried",EMERGENCY_ESCALATE
vignette:5,hello doctor vomiting blood and feeling faint,EMERGENCY_ESCALATE
vignette:5,i am experiencing vomiting blood and feeling faint,EMERGENCY_ESCALATE
vignette:21,cannot pass urine at all since yesterday and severe lower belly pain,EMERGENCY_ESCALATE
vignette:21,i have cannot pass urine at all since yesterday and severe lower belly pain,EMERGENCY_ESCALATE
vignette:21,"doctor, cannot pass urine at all since yesterday and severe lower belly pain",EMERGENCY_ESCALATE
vignette:21,cannot pass urine at all since yesterday and severe lower belly pain. what should i do,EMERGENCY_ESCALATE
vignette:21,cannot pass urine at all since yesterday and severe lower belly pain. please advise,EMERGENCY_ESCALATE
vignette:21,"hi, cannot pass urine at all since yesterday and severe lower belly pain and i am worried",EMERGENCY_ESCALATE
vignette:21,hello doctor cannot pass urine at all since yesterday and severe lower belly pain,EMERGENCY_ESCALATE
vignette:21,i am experiencing cannot pass urine at all since yesterday and severe lower belly pain,EMERGENCY_ESCALATE
vignette:15,high fever with a stiff neck and i cannot tolerate light,EMERGENCY_ESCALATE
vignette:15,i have high fever with a stiff neck and i cannot tolerate light,EMERGENCY_ESCALATE
vignette:15,"doctor, high fever with a stiff neck and i cannot tolerate light",EMERGENCY_ESCALATE
vignette:15,high fever with a stiff neck and i cannot tolerate light. what should i do,EMERGENCY_ESCALATE
vignette:15,high fever with a stiff neck and i cannot tolerate light. please advise,EMERGENCY_ESCALATE
vignette:15,"hi, high fever with a stiff neck and i cannot tolerate light and i am worried",EMERGENCY_ESCALATE
vignette:15,hello doctor high fever with a stiff neck and i cannot tolerate light,EMERGENCY_ESCALATE
vignette:15,i am experiencing high fever with a stiff neck and i cannot tolerate light,EMERGENCY_ESCALATE
vignette:10,heavy bleeding from a deep cut that will not stop,EMERGENCY_ESCALATE
vignette:10,i have heavy bleeding from a deep cut that will not stop,EMERGENCY_ESCALATE
vignette:10,"doctor, heavy bleeding from a deep cut that will not stop",EMERGENCY_ESCALATE
vignette:10,heavy bleeding from a deep cut that will not stop. what should i do,EMERGENCY_ESCALATE
vignette:10,heavy bleeding from a deep cut that will not stop. please advise,EMERGENCY_ESCALATE
vignette:10,"hi, heavy bleeding from a deep cut that will not stop and i am worried",EMERGENCY_ESCALATE
vignette:10,hello doctor heavy bleeding from a deep cut that will not stop,EMERGENCY_ESCALATE
vignette:10,i am experiencing heavy bleeding from a deep cut that will not stop,EMERGENCY_ESCALATE
vignette:12,i took an overdose of tablets,EMERGENCY_ESCALATE
vignette:12,i have i took an overdose of tablets,EMERGENCY_ESCALATE
vignette:12,"doctor, i took an overdose of tablets",EMERGENCY_ESCALATE
vignette:12,i took an overdose of tablets. what should i do,EMERGENCY_ESCALATE
vignette:12,i took an overdose of tablets. please advise,EMERGENCY_ESCALATE
vignette:12,"hi, i took an overdose of tablets and i am worried",EMERGENCY_ESCALATE
vignette:12,hello doctor i took an overdose of tablets,EMERGENCY_ESCALATE
vignette:12,i am experiencing i took an overdose of tablets,EMERGENCY_ESCALATE
vignette:23,chest tightness with cold sweat and vomiting,EMERGENCY_ESCALATE
vignette:23,i have chest tightness with cold sweat and vomiting,EMERGENCY_ESCALATE
vignette:23,"doctor, chest tightness with cold sweat and vomiting",EMERGENCY_ESCALATE
vignette:23,chest tightness with cold sweat and vomiting. what should i do,EMERGENCY_ESCALATE
vignette:23,chest tightness with cold sweat and vomiting. please advise,EMERGENCY_ESCALATE
vignette:23,"hi, chest tightness with cold sweat and vomiting and i am worried",EMERGENCY_ESCALATE
vignette:23,hello doctor chest tightness with cold sweat and vomiting,EMERGENCY_ESCALATE
vignette:23,i am experiencing chest tightness with cold sweat and vomiting,EMERGENCY_ESCALATE
vignette:34,severe head injury after a road accident,EMERGENCY_ESCALATE
vignette:34,i have severe head injury after a road accident,EMERGENCY_ESCALATE
vignette:34,"doctor, severe head injury after a road accident",EMERGENCY_ESCALATE
vignette:34,severe head injury after a road accident. what should i do,EMERGENCY_ESCALATE
vignette:34,severe head injury after a road accident. please advise,EMERGENCY_ESCALATE
vignette:34,"hi, severe head injury after a road accident and i am worried",EMERGENCY_ESCALATE
vignette:34,hello doctor severe head injury after a road accident,EMERGENCY_ESCALATE
vignette:34,i am experiencing severe head injury after a road accident,EMERGENCY_ESCALATE
vignette:26,severe electric shock and my heart is racing,EMERGENCY_ESCALATE
vignette:26,i have severe electric shock and my heart is racing,EMERGENCY_ESCALATE
vignette:26,"doctor, severe electric shock and my heart is racing",EMERGENCY_ESCALATE
vignette:26,severe electric shock and my heart is racing. what should i do,EMERGENCY_ESCALATE
vignette:26,severe electric shock and my heart is racing. please advise,EMERGENCY_ESCALATE
vignette:26,"hi, severe electric shock and my heart is racing and i am worried",EMERGENCY_ESCALATE
vignette:26,hello doctor severe electric shock and my heart is racing,EMERGENCY_ESCALATE
vignette:26,i am experiencing severe electric shock and my heart is racing,EMERGENCY_ESCALATE
vignette:14,severe abdominal pain with a rigid hard stomach,EMERGENCY_ESCALATE
vignette:14,i have severe abdominal pain with a rigid hard stomach,EMERGENCY_ESCALATE
vignette:14,"doctor, severe abdominal pain with a rigid hard stomach",EMERGENCY_ESCALATE
vignette:14,severe abdominal pain with a rigid hard stomach. what should i do,EMERGENCY_ESCALATE
vignette:14,severe abdominal pain with a rigid hard stomach. please advise,EMERGENCY_ESCALATE
vignette:14,"hi, severe abdominal pain with a rigid hard stomach and i am worried",EMERGENCY_ESCALATE
vignette:14,hello doctor severe abdominal pain with a rigid hard stomach,EMERGENCY_ESCALATE
vignette:14,i am experiencing severe abdominal pain with a rigid hard stomach,EMERGENCY_ESCALATE
vignette:8,i had a seizure a few minutes ago and i am confused,EMERGENCY_ESCALATE
vignette:8,i have i had a seizure a few minutes ago and i am confused,EMERGENCY_ESCALATE
vignette:8,"doctor, i had a seizure a few minutes ago and i am confused",EMERGENCY_ESCALATE
vignette:8,i had a seizure a few minutes ago and i am confused. what should i do,EMERGENCY_ESCALATE
vignette:8,i had a seizure a few minutes ago and i am confused. please advise,EMERGENCY_ESCALATE
vignette:8,"hi, i had a seizure a few minutes ago and i am confused and i am worried",EMERGENCY_ESCALATE
vignette:8,hello doctor i had a seizure a few minutes ago and i am confused,EMERGENCY_ESCALATE
vignette:8,i am experiencing i had a seizure a few minutes ago and i am confused,EMERGENCY_ESCALATE
vignette:38,fever with fits in my three year old right now,EMERGENCY_ESCALATE
vignette:38,i have fever with fits in my three year old right now,EMERGENCY_ESCALATE
vignette:38,"doctor, fever with fits in my three year old right now",EMERGENCY_ESCALATE
vignette:38,fever with fits in my three year old right now. what should i do,EMERGENCY_ESCALATE
vignette:38,fever with fits in my three year old right now. please advise,EMERGENCY_ESCALATE
vignette:38,"hi, fever with fits in my three year old right now and i am worried",EMERGENCY_ESCALATE
vignette:38,hello doctor fever with fits in my three year old right now,EMERGENCY_ESCALATE
vignette:38,i am experiencing fever with fits in my three year old right now,EMERGENCY_ESCALATE
vignette:18,"fainted and hit my head, vomiting since then",EMERGENCY_ESCALATE
vignette:18,"i have fainted and hit my head, vomiting since then",EMERGENCY_ESCALATE
vignette:18,"doctor, fainted and hit my head, vomiting since then",EMERGENCY_ESCALATE
vignette:18,"fainted and hit my head, vomiting since then. what should i do",EMERGENCY_ESCALATE
vignette:18,"fainted and hit my head, vomiting since then. please advise",EMERGENCY_ESCALATE
vignette:18,"hi, fainted and hit my head, vomiting since then and i am worried",EMERGENCY_ESCALATE
vignette:18,"hello doctor fainted and hit my head, vomiting since then",EMERGENCY_ESCALATE
vignette:18,"i am experiencing fainted and hit my head, vomiting since then",EMERGENCY_ESCALATE
vignette:2,i cannot breathe properly and my lips look blue,EMERGENCY_ESCALATE
vignette:2,i have i cannot breathe properly and my lips look blue,EMERGENCY_ESCALATE
vignette:2,"doctor, i cannot breathe properly and my lips look blue",EMERGENCY_ESCALATE
vignette:2,i cannot breathe properly and my lips look blue. what should i do,EMERGENCY_ESCALATE
vignette:2,i cannot breathe properly and my lips look blue. please advise,EMERGENCY_ESCALATE
vignette:2,"hi, i cannot breathe properly and my lips look blue and i am worried",EMERGENCY_ESCALATE
vignette:2,hello doctor i cannot breathe properly and my lips look blue,EMERGENCY_ESCALATE
vignette:2,i am experiencing i cannot breathe properly and my lips look blue,EMERGENCY_ESCALATE
vignette:32,my child swallowed a button battery,EMERGENCY_ESCALATE
vignette:32,i have my child swallowed a button battery,EMERGENCY_ESCALATE
vignette:32,"doctor, my child swallowed a button battery",EMERGENCY_ESCALATE
vignette:32,my child swallowed a button battery. what should i do,EMERGENCY_ESCALATE
vignette:32,my child swallowed a button battery. please advise,EMERGENCY_ESCALATE
vignette:32,"hi, my child swallowed a button battery and i am worried",EMERGENCY_ESCALATE
vignette:32,hello doctor my child swallowed a button battery,EMERGENCY_ESCALATE
vignette:32,i am experiencing my child swallowed a button battery,EMERGENCY_ESCALATE
vignette:16,swollen tongue and throat closing after eating peanuts,EMERGENCY_ESCALATE
vignette:16,i have swollen tongue and throat closing after eating peanuts,EMERGENCY_ESCALATE
vignette:16,"doctor, swollen tongue and throat closing after eating peanuts",EMERGENCY_ESCALATE
vignette:16,swollen tongue and throat closing after eating peanuts. what should i do,EMERGENCY_ESCALATE
vignette:16,swollen tongue and throat closing after eating peanuts. please advise,EMERGENCY_ESCALATE
vignette:16,"hi, swollen tongue and throat closing after eating peanuts and i am worried",EMERGENCY_ESCALATE
vignette:16,hello doctor swollen tongue and throat closing after eating peanuts,EMERGENCY_ESCALATE
vignette:16,i am experiencing swollen tongue and throat closing after eating peanuts,EMERGENCY_ESCALATE
vignette:1,"chest pain and sweating, feels like pressure on my chest",EMERGENCY_ESCALATE
vignette:1,"i have chest pain and sweating, feels like pressure on my chest",EMERGENCY_ESCALATE
vignette:1,"doctor, chest pain and sweating, feels like pressure on my chest",EMERGENCY_ESCALATE
vignette:1,"chest pain and sweating, feels like pressure on my chest. what should i do",EMERGENCY_ESCALATE
vignette:1,"chest pain and sweating, feels like pressure on my chest. please advise",EMERGENCY_ESCALATE
vignette:1,"hi, chest pain and sweating, feels like pressure on my chest and i am worried",EMERGENCY_ESCALATE
vignette:1,"hello doctor chest pain and sweating, feels like pressure on my chest",EMERGENCY_ESCALATE
vignette:1,"i am experiencing chest pain and sweating, feels like pressure on my chest",EMERGENCY_ESCALATE
vignette:28,severe allergic reaction with hives all over and wheezing,EMERGENCY_ESCALATE
vignette:28,i have severe allergic reaction with hives all over and wheezing,EMERGENCY_ESCALATE
vignette:28,"doctor, severe allergic reaction with hives all over and wheezing",EMERGENCY_ESCALATE
vignette:28,severe allergic reaction with hives all over and wheezing. what should i do,EMERGENCY_ESCALATE
vignette:28,severe allergic reaction with hives all over and wheezing. please advise,EMERGENCY_ESCALATE
vignette:28,"hi, severe allergic reaction with hives all over and wheezing and i am worried",EMERGENCY_ESCALATE
vignette:28,hello doctor severe allergic reaction with hives all over and wheezing,EMERGENCY_ESCALATE
vignette:28,i am experiencing severe allergic reaction with hives all over and wheezing,EMERGENCY_ESCALATE
vignette:36,i feel my heart racing very fast and i almost fainted,EMERGENCY_ESCALATE
vignette:36,i have i feel my heart racing very fast and i almost fainted,EMERGENCY_ESCALATE
vignette:36,"doctor, i feel my heart racing very fast and i almost fainted",EMERGENCY_ESCALATE
vignette:36,i feel my heart racing very fast and i almost fainted. what should i do,EMERGENCY_ESCALATE
vignette:36,i feel my heart racing very fast and i almost fainted. please advise,EMERGENCY_ESCALATE
vignette:36,"hi, i feel my heart racing very fast and i almost fainted and i am worried",EMERGENCY_ESCALATE
vignette:36,hello doctor i feel my heart racing very fast and i almost fainted,EMERGENCY_ESCALATE
vignette:36,i am experiencing i feel my heart racing very fast and i almost fainted,EMERGENCY_ESCALATE
vignette:39,i cannot move my legs since this morning,EMERGENCY_ESCALATE
vignette:39,i have i cannot move my legs since this morning,EMERGENCY_ESCALATE
vignette:39,"doctor, i cannot move my legs since this morning",EMERGENCY_ESCALATE
vignette:39,i cannot move my legs since this morning. what should i do,EMERGENCY_ESCALATE
vignette:39,i cannot move my legs since this morning. please advise,EMERGENCY_ESCALATE
vignette:39,"hi, i cannot move my legs since this morning and i am worried",EMERGENCY_ESCALATE
vignette:39,hello doctor i cannot move my legs since this morning,EMERGENCY_ESCALATE
